"","Protein","Label","log2FC","SE"
"13","CHOYP_AAEL_AAEL005639.1.1|m.10386","23C-29C",-4.82102460514497,1.21238977663865
"90","CHOYP_ANR31.1.1|m.61075","23C-29C",-3.0736726268013,0.518120579995749
"131","CHOYP_ATS6.3.3|m.56109","23C-29C",-3.03711651497125,0.458391497792853
"208","CHOYP_BRAFLDRAFT_120058.1.1|m.9895","23C-29C",-4.35886178063794,3.85404338330695
"260","CHOYP_BRAFLDRAFT_126379.1.3|m.5102","23C-29C",-3.73314389144942,1.10544724962972
"340","CHOYP_BRAFLDRAFT_265162.1.3|m.58969","23C-29C",-3.46636807954102,0.965709971214036
"543","CHOYP_CCDC146.1.1|m.11347","23C-29C",-6.80617243580348,0.395846057887231
"728","CHOYP_contig_047061|m.55366","23C-29C",-3.38712538351259,0.703231165442264
"730","CHOYP_contig_047731|m.56360","23C-29C",-3.5312770179309,0.550436180781181
"850","CHOYP_DMOJ_GI19977.1.1|m.66449","23C-29C",-4.82643040551856,1.80289741303534
"1479","CHOYP_LOC100372915.3.7|m.25794","23C-29C",-3.07508366360735,0.228360109075726
"1592","CHOYP_LOC100377780.8.11|m.53259","23C-29C",-3.34507255680141,0.289767627842744
"1746","CHOYP_LOC100748625.1.1|m.24479","23C-29C",-3.2195789591241,1.68310882018426
"1790","CHOYP_LOC100890099.1.1|m.11505","23C-29C",-3.22952859428152,1.61859096614319
"1851","CHOYP_LOC101160066.1.1|m.65775","23C-29C",-3.03050501411936,1.63407596302682
"1870","CHOYP_LOC101174856.1.1|m.47585","23C-29C",-3.18982228328846,0.791241832546526
"2056","CHOYP_LRRF2.2.2|m.40846","23C-29C",-4.00727332463592,0.046648819655472
"2301","CHOYP_PCCB.2.2|m.62988","23C-29C",-4.43731576518277,3.83513277279235
"224","CHOYP_BRAFLDRAFT_123087.2.2|m.27308","23C-29C",3.31745322841137,0.689085554426283
"540","CHOYP_CBR1.1.1|m.62756","23C-29C",3.45577173163149,2.19901723481974
"645","CHOYP_contig_023752|m.27015","23C-29C",3.09545500362267,0.710058202019858
"666","CHOYP_contig_027593|m.31285","23C-29C",3.49679312869811,1.4281009951497
"1018","CHOYP_GLOD5.1.1|m.25831","23C-29C",3.10869924458214,3.22617345636487
"1078","CHOYP_HS90A.2.3|m.21992","23C-29C",3.57946238636119,1.90685233863944
"1312","CHOYP_LOC100208382.1.1|m.12145","23C-29C",3.06964604803267,1.09001375503714
"1714","CHOYP_LOC100698013.1.1|m.5420","23C-29C",3.29570674174032,0.604856875815878
