Term,Fold.Enrichment
GO:0035239~tube morphogenesis,4.7937472861485
GO:0035295~tube development,3.92324093816631
GO:0055123~digestive system development,9.38775510204082
GO:0060562~epithelial tube morphogenesis,4.17233560090703
GO:0052548~regulation of endopeptidase activity,5.77708006279435
GO:0098542~defense response to other organism,5.17945109078114
GO:0052547~regulation of peptidase activity,5.17945109078114
GO:0048565~digestive tract development,8.66562009419152
GO:0050867~positive regulation of cell activation,8.66562009419152
GO:0006952~defense response,2.78155706727135
GO:0050789~regulation of biological process,1.25869342150268
GO:0065007~biological regulation,1.23244374672946
GO:0043207~response to external biotic stimulus,3.12925170068027
GO:0051707~response to other organism,3.12925170068027
GO:0009607~response to biotic stimulus,3.02830809743252
GO:0002009~morphogenesis of an epithelium,2.98023971493359
GO:0009605~response to external stimulus,1.90937391905915
GO:0050900~leukocyte migration,5.63265306122449
